,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette
3296,2,decaʹy,,,,v.,33.0,65,decay
3297,2,deceaʹſe,L.,,,n.,34.0,65,decease
3298,2,deceiʹt,,,,n.,35.0,65,deceit
3299,3,deceiʹtful,,,,n.,36.0,65,deceitful
3300,2,deceiʹve,L.,,,v.,37.0,65,deceive
3301,3,decĕʹmb_e_r,L.,,,n.,38.0,65,december
3302,4,decĕʹmvĭrāte,L.,,,n.,39.0,65,decemvirate
3303,3,dēʹcĕncy,L.,,,n.,40.0,65,decency
3304,2,dēʹcent,L.,,,a.,41.0,65,decent
3305,4,decĕʹption,L.,,,n.,42.0,65,deception
3306,2,decīʹde,L.,,,v.,43.0,65,decide
3307,4,decĭʹdū_o_us,L.,,,a.,44.0,65,deciduous
3308,3,dĕʹcĭmal,,,,n.,45.0,65,decimal
3309,4,decĭmāʹtion,L.,,,n.,46.0,65,decimation
3310,3,decīʹpher,F.,,,v.,47.0,65,decipher
3311,4,decĭʹſion,F.,,,n.,48.0,65,decision
3312,3,decĭʹsĭve,F.,,,a.,49.0,65,decisive
3313,1,dĕck,,,,n.,50.0,65,deck
3314,2,declaiʹm,L.,,,v.,51.0,65,declaim
3315,5,dĕclāmaʹtion,L.,,,n.,52.0,65,declamation
3316,5,dĕclărāʹtion,L.,,,n.,53.0,65,declaration
3317,2,declāʹre,L.,,,v.,54.0,65,declare
3318,4,declĕʹnſion,L.,,,n.,55.0,65,declension
3319,5,declĭnāʹtion,,,,n.,56.0,65,declination
3320,2,declīʹne,,,,v.,57.0,65,decline
3321,4,declĭʹvĭty,L.,,,n.,58.0,65,declivity
3322,2,decoʹct,L.,,,v.,59.0,65,decoct
3323,4,decŏʹction,L.,,,n.,60.0,65,decoction
3324,5,decŏllāʹtion,,,,n.,61.0,65,decollation
3325,6,decŏmpŏsĭʹtion,L.,,,n.,62.0,65,decomposition
3326,3,dĕʹcŏrāte,L.,,,v.,63.0,65,decorate
3327,5,dĕcŏrāʹtion,L.,,,n.,64.0,65,decoration
3328,3,dĕcōʹrum,L.,,,n.,65.0,65,decorum
3329,2,decoʹy,,,,n.,66.0,65,decoy
3330,2,decreaʹſe,L.,,,v.,67.0,65,decrease
3331,2,decree,,nbSyll>1 et pas d'accent tonic,,v.,68.0,65,decree
3332,3,decreʹpid,F.,,,a.,69.0,65,decrepid
3333,6,decrĕpĭtāʹtion,F.,,,n.,70.0,65,decrepitation
3334,3,decrēʹtal,L.,,,a.,71.0,65,decretal
3335,2,decryʹ,F.,,,v.,2.0,66,decry
3336,2,dĕʹdĭcāte,L.,,,v.,3.0,66,dedicate
3337,5,dedĭcāʹtion,T.,,{etymo} comme indiquée dans le dictionnaire.,n.,4.0,66,dedication
3338,5,dĕʹdĭcătory,,,,a.,5.0,66,dedicatory
3339,2,deʹdūce,L.,,,v.,6.0,66,deduce
3340,2,dedŭʹct,L.,,,v.,7.0,66,deduct
3341,4,dedŭʹction,,,,n.,8.0,66,deduction
3342,1,deed,,,,n.,9.0,66,deed
3343,1,deem,,,,v.,10.0,66,deem
3344,1,deep,,,,a.,11.0,66,deep
3345,1,deer,,,,n.,12.0,66,deer
3346,2,defāʹce,F.,,,v.,13.0,66,deface
3347,3,defaiʹlance,F.,,,n.,14.0,66,defailance
3348,5,defălcāʹtion,L.,,,n.,15.0,66,defalcation
3349,2,defāʹme,L.,,,v.,16.0,66,defame
3350,2,defauʹlt,F.,,,n.,17.0,66,default
3351,3,defeaʹſănce,F.,,,n.,18.0,66,defeasance
3352,2,defeaʹt,,,,n.,19.0,66,defeat
3353,3,dĕʹfĕcāte,L.,,,v.,20.0,66,defecate
3354,2,defĕct,,nbSyll>1 et pas d'accent tonic,,n.,21.0,66,defect
3355,4,defĕʹction,L.,,,n.,22.0,66,defection
3356,3,defĕʹctive,,,,a.,23.0,66,defective
3357,2,defĕʹnce,L.,,,n.,24.0,66,defence
3358,3,defĕʹnc_e_leſs,,,,a.,25.0,66,defenceless
3359,2,defĕʹnd,L.,,,v.,26.0,66,defend
3360,3,defĕʹndănt,,,,n.,27.0,66,defendant
3361,3,defĕʹnder,,,,n.,28.0,66,defender
3362,2,defĕr,L.,nbSyll>1 et pas d'accent tonic,,v.,29.0,66,defer
3363,3,dĕʹfĕrĕnce,F.,,,n.,30.0,66,deference
3364,3,dēfīʹănce,F.,,,n.,31.0,66,defiance
3365,5,defĭʹcĭency,L.,,,n.,32.0,66,deficiency
3366,4,defĭʹcĭĕnt,,,,a.,33.0,66,deficient
3367,2,defīle,,nbSyll>1 et pas d'accent tonic,,v.,34.0,66,defile
3368,3,defīʹl_e_ment,,,,n.,35.0,66,defilement
3369,2,defīʹne,L.,,,v.,36.0,66,define
3370,3,dĕʹfĭnĭte,,,,a.,37.0,66,definite
3371,5,defĭnĭʹtions,L.,,,n.,38.0,66,definitions
3372,4,defĭnĭtive,,nbSyll>1 et pas d'accent tonic,,a.,39.0,66,definitive
3373,4,deflĕʹction,L.,,,n.,40.0,66,deflection
3374,2,deflȯu̇ʹr,F.,,,v.,41.0,66,deflouor
3375,4,deflŭʹxion,L.,,,n.,42.0,66,defluxion
3376,2,defŏʹrm,L.,,,v.,43.0,66,deform
3377,4,defŏrmĭty,,nbSyll>1 et pas d'accent tonic,,n.,44.0,66,deformity
3378,2,defrauʹd,,,,v.,45.0,66,defraud
3379,2,defrayʹ,,,,v.,46.0,66,defray
3380,2,defŭʹnct,L.,,,n.,47.0,66,defunct
3381,2,defyʹ,F.,,,v.,48.0,66,defy
3382,5,degĕʹnĕracy,,,,n.,49.0,66,degeneracy
3383,4,degĕʹnĕrāte,L.,,,v.,50.0,66,degenerate
3384,4,deglūʹtĭnāte,F.,,,v.,51.0,66,deglutinate
3385,5,degrădāʹtion,,,,n.,52.0,66,degradation
3386,2,degreeʹ,,,,n.,53.0,66,degree
3387,2,dehŏʹrt,L.,,,v.,54.0,66,dehort
3388,2,dejĕʹct,,,,v.,55.0,66,deject
3389,4,dejĕʹction,L.,,,n.,56.0,66,dejection
3390,3,dėʹĭfy,L.,,,v.,57.0,66,deify
3391,1,dei_g_n,F.,,,v.,58.0,66,deign
3392,2,dėʹiſm,F.,,,n.,59.0,66,deism
3393,2,dėʹiſt,,,,n.,60.0,66,deist
3394,3,dėʹity,L.,,,n.,61.0,66,deity
3395,3,dėʹities,,,,n.,62.0,66,deities
3396,6,delăcĕrāʹtion,,,,n.,63.0,66,delaceration
3397,2,delaʹy,F.,,,n.,64.0,66,delay
3398,4,delĕʹctable,L.,,,a.,65.0,66,delectable
3399,5,delĕctāʹtion,L.,,,n.,66.0,66,delectation
3400,3,dĕʹlĕgate,L.,,,v.,67.0,66,delegate
3401,3,dĕʹlĕgātes,,,,n.,68.0,66,delegates
3402,3,deʹlĭā,,,,n.,69.0,66,delia
3403,4,delĭʹbĕrāte,,,,v.,70.0,66,deliberate
3404,4,dĕʹlĭcacy,F.,,,n.,71.0,66,delicacy
3405,4,delĭʹcĭ_o_us,F.,,,a.,72.0,66,delicious
3406,2,delī_gh_t,F.,nbSyll>1 et pas d'accent tonic,,n.,73.0,66,delight
3407,4,delĭnėȧte,L.,nbSyll>1 et pas d'accent tonic,,v.,2.0,67,delineate
3408,6,delĭnėȧʹtion,,,,n.,3.0,67,delineation
3409,3,delĭʹnqūent,,,,n.,4.0,67,delinquent
3410,4,delĭʹrĭ_o_us,,,,a.,5.0,67,delirious
3411,4,delĭʹrĭum,L.,,,n.,6.0,67,delirium
3412,3,delĭʹver,F.,,,v.,7.0,67,deliver
3413,2,delūʹde,L.,,,v.,8.0,67,delude
3414,1,delve,,,,n.,9.0,67,delve
3415,2,dĕʹlūge,F.,,,n.,10.0,67,deluge
3416,4,delūʹſion,L.,,,n.,11.0,67,delusion
3417,3,delūʹſive,L.,,,a.,12.0,67,delusive
3418,3,dĕʹmăgog_ue_,G.,,,n.,13.0,67,demagogue
3419,2,demaiʹn,F.,,,n.,14.0,67,demain
3420,2,demăʹnd,F.,,,v.,15.0,67,demand
3421,3,demăʹndant,F.,,,n.,16.0,67,demandant
3422,2,demeaʹn,,,,v.,17.0,67,demean
3423,3,demeaʹno_u_r,,,,n.,18.0,67,demeanour
3424,3,demĕʹrit,,,,n.,19.0,67,demerit
3425,2,dĕʹmi,F.,,,n.,20.0,67,demi
3426,2,demīʹſe,,,,n.,21.0,67,demise
3427,4,demŏʹcrăcy,G.,,,n.,22.0,67,democracy
3428,5,demŏʹcrăʹtĭcal,,,,a.,23.0,67,democratical
3429,3,demŏʹliſh,L.,,,v.,24.0,67,demolish
3430,2,dēmon,,nbSyll>1 et pas d'accent tonic,,n.,25.0,67,demon
3431,4,demōʹnĭac,G.,,,n.,26.0,67,demoniac
3432,4,demŏnʹſtrable,L.,,,a.,27.0,67,demonstrable
3433,3,demŏʹnſtrāte,,,,v.,28.0,67,demonstrate
3434,5,demŏnſtrāʹtion,,,,n.,29.0,67,demonstration
3435,2,demuʹr,F.,,,v.,30.0,67,demur
3436,2,demūʹre,,,,a.,31.0,67,demure
3437,3,demŭʹrrage,,,,n.,32.0,67,demurrage
3438,1,den,,,,n.,33.0,67,den
3439,3,denīʹal,F.,,,n.,34.0,67,denial
3440,2,denieʹr,F.,,,n.,35.0,67,denier
3441,3,dĕʹnĭſon,,,,n.,36.0,67,denison
3442,4,denŏʹmĭnāte,L.,,,v.,37.0,67,denominate
3443,6,denŏmĭnāʹtion,,,,n.,38.0,67,denomination
3444,2,denōʹte,L.,,,v.,39.0,67,denote
3445,2,denȯu̇ʹnce,L.,,,v.,40.0,67,denouonce
3446,1,denſe,L.,,,a.,41.0,67,dense
3447,3,dĕnʹſĭty,L.,,,n.,42.0,67,density
3448,1,dent,F.,,,n.,43.0,67,dent
3449,1,dĕʹnted,,,,n.,44.0,67,dented
3450,3,dĕʹntĭcles,,,,n.,45.0,67,denticles
3451,3,dĕʹntĭfrĭce,L.,,,n.,46.0,67,dentifrice
3452,3,denūʹdāte,L.,,,a.,47.0,67,denudate
3453,6,denȯu̇ncĭāʹtion,L.,,,n.,48.0,67,denouonciation
3454,2,denyʹ,F.,,,v.,49.0,67,deny
3455,4,deŏʹbstrūent,,,,n.,50.0,67,deobstruent
3456,2,depaiʹnt,F.,,,v.,51.0,67,depaint
3457,2,depăʹrt,F.,,,v.,52.0,67,depart
3458,3,depaʹrture,,,,n.,53.0,67,departure
3459,4,depauʹpĕrāte,L.,,,v.,54.0,67,depauperate
3460,4,depĕʹcŭlāte,L.,,,v.,55.0,67,depeculate
3461,2,depĕʹnd,L.,,,v.,56.0,67,depend
3462,3,depĕʹndănce,,,,n.,57.0,67,dependance
3463,3,depĕʹndănt,,,,n.,58.0,67,dependant
3464,3,depĭʹcted,L.,,,v.,59.0,67,depicted
3465,4,deplōʹrable,,,,a.,60.0,67,deplorable
3466,2,deplōʹre,,,,v.,61.0,67,deplore
3467,3,depōʹnent,L.,,,n.,62.0,67,deponent
3468,4,depŏʹpūlāte,L.,,,v.,63.0,67,depopulate
3469,3,depŏʹrtment,F.,,,n.,64.0,67,deportment
3470,2,depōʹfe,L.,,,v.,65.0,67,depofe
3471,5,depŏʹsĭtory,F.,,,n.,66.0,67,depository
3472,3,depŏʹsĭte,F.,,,v.,67.0,67,deposite
3473,5,dĕpŏsĭʹtion,L.,,,n.,68.0,67,deposition
3474,4,depŏʹsĭtum,L.,,,n.,69.0,67,depositum
3475,5,dĕprăvāʹtion,L.,,,n.,70.0,67,depravation
3476,2,deprāʹve,L.,,,v.,71.0,67,deprave
3477,4,deprāʹvĭty,L.,,,n.,72.0,67,depravity
3478,3,dĕʹprĕcāte,L.,,,v.,2.0,68,deprecate
3479,4,depreʹcĭāte,,,,v.,3.0,68,depreciate
3480,5,dĕprĕdāʹtion,F.,,,n.,4.0,68,depredation
3481,2,deprĕʹſs,L.,,,v.,5.0,68,depress
3482,5,dĕprĭvāʹtion,L.,,,n.,6.0,68,deprivation
3483,2,deprīʹve,L.,,,v.,7.0,68,deprive
3484,1,dĕpth,,,,n.,8.0,68,depth
3485,5,depūtāʹtion,F.,,,n.,9.0,68,deputation
3486,2,depūʹte,,,,v.,10.0,68,depute
3487,3,dĕʹpūty,,,,n.,11.0,68,deputy
3488,5,dĕrĕlĭʹction,L.,,,n.,12.0,68,dereliction
3489,2,derīʹde,L.,,,v.,13.0,68,deride
3490,4,derĭʹſion,,,,n.,14.0,68,derision
3491,5,derĭvāʹtion,,,,n.,15.0,68,derivation
3492,4,deriʹvăʹtĭve,,,,a.,16.0,68,derivative
3493,2,derīʹve,,,,v.,17.0,68,derive
3494,3,dĕʹrŏgāte,F.,,,v.,18.0,68,derogate
3495,5,derŏʹgătory,F.,,,a.,19.0,68,derogatory
3496,3,dĕʹrvĭſes,,,,n.,20.0,68,dervises
3497,2,dĕʹſart,L.,,,n.,21.0,68,desart
3498,2,deſcăʹnt,,,,v.,22.0,68,descant
3499,2,deſcĕʹnd,L.,,,v.,23.0,68,descend
3500,3,deſcĕʹndănts,,,,n.,24.0,68,descendants
3501,2,deſcĕʹnt,,,,n.,25.0,68,descent
3502,2,deſcrīʹbe,L.,,,v.,26.0,68,describe
3503,3,deſcrīʹbent,L.,,,n.,27.0,68,describent
3504,4,deſcrĭʹption,,,,n.,28.0,68,description
3505,2,deſcryʹ,,,,v.,29.0,68,descry
3506,2,dĕſĕʹrt,L.,,,v.,30.0,68,desert
3507,3,dĕſeʹrt_e_r,,,,n.,31.0,68,deserter
3508,2,deſĕʹrve,L.,,,v.,32.0,68,deserve
3509,3,deſĕrʹving,,,,a.,33.0,68,deserving
3510,3,deſhabĭʹlle,F.,,,n.,34.0,68,deshabille
3511,3,dĕʹsĭccāte,L.,,,v.,35.0,68,desiccate
3512,2,desīʹgn,F.,,,n.,36.0,68,design
3513,3,desīʹ_g_ning,,,,a.,37.0,68,designing
3514,4,desīʹrable,F.,,,a.,38.0,68,desirable
3515,2,desīʹre,,,,n.,39.0,68,desire
3516,2,desĭʹſt,L.,,,v.,40.0,68,desist
3517,1,deſk,,,,n.,41.0,68,desk
3518,3,dĕʹſŏlāte,L.,,,a.,42.0,68,desolate
3519,5,dĕſŏlāʹtion,,,,n.,43.0,68,desolation
3520,2,dĕſpaiʹr,L.,,,n.,44.0,68,despair
3521,4,dĕſpĕrāʹdo,,,,n.,45.0,68,desperado
3522,3,dĕʹſpĕrāte,,,,a.,46.0,68,desperate
3523,5,dĕſpĕrāʹtion,,,,n.,47.0,68,desperation
3524,4,dĕʹſpĭcable,L.,,,a.,48.0,68,despicable
3525,2,deſpīʹſe,,,,v.,49.0,68,despise
3526,2,deſpīʹte,F.,,,n.,50.0,68,despite
3527,2,deſpoiʹl,L.,,,v.,51.0,68,despoil
3528,2,deſpoʹnd,L.,,,v.,52.0,68,despond
3529,3,deſpŏʹndĕnce,,,,n.,53.0,68,despondence
3530,2,dĕʹſpote,G.,,,n.,54.0,68,despote
3531,3,dĕſpŏʹtic,,,,a.,55.0,68,despotic
3532,5,deſpūmāʹtion,L.,,,n.,56.0,68,despumation
3533,2,dĕssĕʹrt,,,,n.,57.0,68,dessert
3534,2,deʹſtĭne,L.,,,v.,58.0,68,destine
3535,3,deʹſtĭnies,,,,n.,59.0,68,destinies
3536,3,deʹſtĭny,,,,n.,60.0,68,destiny
3537,3,dĕʹſtĭtūte,F.,,,a.,61.0,68,destitute
3538,2,deſtroʹy,L.,,,v.,62.0,68,destroy
3539,4,deſtrŭʹctĭon,,,,n.,63.0,68,destruction
3540,3,deſtrŭʹctive,,,,a.,64.0,68,destructive
3541,4,desŭʹltŏry,L.,,,a.,65.0,68,desultory
3542,2,detăʹch,F.,,,v.,66.0,68,detach
3543,3,detăʹched,,,,a.,67.0,68,detached
3544,3,detaʹchment,F.,,,n.,68.0,68,detachment
3545,2,detaiʹl,F.,,,n.,69.0,68,detail
3546,2,detaiʹn,L.,,,v.,70.0,68,detain
3547,2,detĕʹct,L.,,,v.,71.0,68,detect
3548,4,detĕʹction,L.,,,n.,2.0,69,detection
3549,4,detĕʹntion,L.,,,n.,3.0,69,detention
3550,2,detĕʹr,L.,,,v.,4.0,69,deter
3551,3,detĕʹrgent,L.,,,a.,5.0,69,detergent
3552,5,detĕʹrmĭnable,,,,a.,6.0,69,determinable
3553,4,detĕʹrmĭnate,,,,a.,7.0,69,determinate
3554,6,detĕrmĭnāʹtion,,,,n.,8.0,69,determination
3555,3,detĕʹrmĭne,L.,,,v.,9.0,69,determine
3556,3,detĕʹrsĭve,,,,a.,10.0,69,detersive
3557,2,detĕʹſt,L.,,,v.,11.0,69,detest
3558,4,detĕʹſtable,,,,a.,12.0,69,detestable
3559,5,detĕſtāʹtion,L.,,,n.,13.0,69,detestation
3560,3,dethrōʹne,F.,,,v.,14.0,69,dethrone
3561,2,detrăʹct,L.,,,v.,15.0,69,detract
3562,4,detrăʹction,L.,,,n.,16.0,69,detraction
3563,3,dĕʹtrĭment,F.,,,n.,17.0,69,detriment
3564,4,dĕtrĭmĕʹntal,,,,a.,18.0,69,detrimental
3565,2,detrūʹde,L.,,,v.,19.0,69,detrude
3566,5,devăſtāʹtion,,,,n.,20.0,69,devastation
3567,2,devĕʹſt,L.,,,v.,21.0,69,devest
3568,3,dĕʹvĭāte,L.,,,v.,22.0,69,deviate
3569,5,dĕvĭāʹtion,,,,n.,23.0,69,deviation
3570,2,devīʹce,F.,,,n.,24.0,69,device
3571,2,dĕʹvil,F.,,,n.,25.0,69,devil
3572,2,devīʹſe,F.,,,v.,26.0,69,devise
3573,3,deviſeeʹ,F.,,,n.,27.0,69,devisee
3574,3,devĭʹſor,,,,n.,28.0,69,devisor
3575,2,devoiʹd,,,,a.,29.0,69,devoid
3576,2,devoĭʹr,F.,,,n.,30.0,69,devoir
3577,2,devŏʹlve,L.,,,v.,31.0,69,devolve
3578,2,devōʹte,,,,v.,32.0,69,devote
3579,3,devōʹted,,,,a.,33.0,69,devoted
3580,3,dĕvōʹteeʹ,F.,,,n.,34.0,69,devotee
3581,4,devōʹtion,,,,n.,35.0,69,devotion
3582,2,devȯu̇ʹr,F.,,,n.,36.0,69,devouor
3583,2,devȯu̇t,F.,nbSyll>1 et pas d'accent tonic,,a.,37.0,69,devouot
3584,1,dew,,,,n.,38.0,69,dew
3585,2,deʹwlap,,,,n.,39.0,69,dewlap
3586,2,deʹwy,,,,a.,40.0,69,dewy
3587,4,dĕxtĕʹrĭty,F.,,,n.,41.0,69,dexterity
3588,3,dĕʹxtĕr_o_us,F.,,,a.,42.0,69,dexterous
3589,1,dey,,,,n.,43.0,69,dey
3590,4,dīăbēʹtès,G.,,,n.,44.0,69,diabetes
3591,5,dīăbŏʹlĭcal,,,,a.,45.0,69,diabolical
3592,5,dīăcōʹdĭum,G.,,,n.,46.0,69,diacodium
3593,3,dīʹădem,G.,,,n.,47.0,69,diadem
3594,4,dīaēʹrĕſis,G.,,,n.,48.0,69,diaeresis
3595,4,dīăgnŏʹſtic,G.,,,n.,49.0,69,diagnostic
3596,4,dīăʹgŏnal,G.,,,n.,50.0,69,diagonal
3597,3,dīʹagram,G.,,,n.,51.0,69,diagram
3598,5,dīăgrĭʹdĭum,L.,,,n.,52.0,69,diagridium
3599,2,dīʹal,L.,,,n.,53.0,69,dial
3600,3,dīʹălĕct,G.,,,n.,54.0,69,dialect
3601,3,dīʹălling,,,,n.,55.0,69,dialling
3602,3,dīʹălog_ue_,G.,,,n.,56.0,69,dialogue
3603,4,dīăʹmĕt_e_r,,,,n.,57.0,69,diameter
3604,5,dīămĕʹtrĭcal,,,,a.,58.0,69,diametrical
3605,6,dīămĕʹtrĭcally,,,,n.,59.0,69,diametrically
3606,3,dīʹ_a_mond,F.,,,n.,60.0,69,diamond
3607,3,dīăʹnā,,,,n.,61.0,69,diana
3608,4,dīăpāʹſon,G.,,,n.,62.0,69,diapason
3609,3,dīʹ_a_p_e_r,,,,n.,63.0,69,diaper
3610,4,dīăʹphăn_o_us,G.,,,a.,64.0,69,diaphanous
3611,5,dīăphŏrēʹſis,,,,n.,65.0,69,diaphoresis
3612,5,dīăphorĕʹtics,G.,,,n.,66.0,69,diaphoretics
3613,3,dīʹăphră_g_m,G.,,,n.,67.0,69,diaphragm
3614,5,dīărr_ho_ēʹā,G.,,,n.,68.0,69,diarrhoea
3615,3,dīʹăry,,,,n.,69.0,69,diary
3616,4,dīăʹſtŏlè,G.,,,n.,70.0,69,diastole
3617,3,dīăʹſtyle,G.,,,n.,71.0,69,diastyle
3618,2,dĭʹck_e_r,,,,n.,72.0,69,dicker
3619,2,dĭʹctāte,L.,,,v.,73.0,69,dictate
3620,2,dĭʹctāt_e_s,,,,n.,2.0,70,dictates
3621,3,dĭctaʹtor,L.,,,n.,3.0,70,dictator
3622,5,dĭctătōʹrĭal,,,,a.,4.0,70,dictatorial
3623,4,dĭctaʹtorſhip,L.,,,n.,5.0,70,dictatorship
3624,5,dĭʹctionăry,,,,n.,6.0,70,dictionary
3625,3,dĭdăʹctic,G.,,,a.,7.0,70,didactic
3626,3,dĭʹdăpp_e_r.,,,,n.,8.0,70,didapper
3627,1,dīe,,,,n.,9.0,70,die
3628,2,dīʹer,,,,n.,10.0,70,dier
3629,2,dīʹet,F.,,,n.,11.0,70,diet
3630,2,dīʹff_e_r,L.,,,v.,12.0,70,differ
3631,3,dĭʹffĕrĕnce,L.,,,n.,13.0,70,difference
3632,4,dĭʹffĭcŭlty,L.,,,a.,14.0,70,difficulty
3633,3,dĭffĭdĕnce,L.,nbSyll>1 et pas d'accent tonic,,n.,15.0,70,diffidence
3634,4,dĭʹffĭdent,L.,,,a.,16.0,70,diffident
3635,2,dĭffūʹſe,L.,,,v.,17.0,70,diffuse
3636,4,dĭffūʹſion,,,,n.,18.0,70,diffusion
3637,3,dĭffūʹſive,,,,a.,19.0,70,diffusive
3638,1,dĭg,,,,v.,20.0,70,dig
3639,2,dĭgĕʹſt,L.,,,v.,21.0,70,digest
3640,4,dĭgĕʹſtion,,,,n.,22.0,70,digestion
3641,2,dĭʹgĭt,,,,n.,23.0,70,digit
3642,4,dĭʹgnĭfy,,,,n.,24.0,70,dignify
3643,4,dĭʹgnĭtăry,,,,n.,25.0,70,dignitary
3644,3,dĭʹgnĭty,L.,,,n.,26.0,70,dignity
3645,2,dĭgrĕʹſs,L.,,,v.,27.0,70,digress
3646,4,dĭgrĕſſion,,nbSyll>1 et pas d'accent tonic,,n.,28.0,70,digression
3647,1,dīke,,,,n.,29.0,70,dike
3648,6,dĭlăpĭdāʹtion,,,,n.,30.0,70,dilapidation
3649,2,dīlāʹte,F.,,,v.,31.0,70,dilate
3650,3,dĭʹlătŏry,L.,,,a.,32.0,70,dilatory
3651,3,dīlĕʹmmā,G.,,,n.,33.0,70,dilemma
3652,3,dĭʹlĭgĕnce,L.,,,n.,34.0,70,diligence
3653,4,dīlūʹcĭdāte,L.,,,v.,35.0,70,dilucidate
3654,3,dīʹlūĕnts,L.,,,n.,36.0,70,diluents
3655,2,dīlūʹte,L.,,,v.,37.0,70,dilute
3656,4,dīlūʹtion,,,,n.,38.0,70,dilution
3657,1,dĭm,,,,a.,39.0,70,dim
3658,4,dĭmĕʹnſion,L.,,,n.,40.0,70,dimension
3659,3,dĭmĭʹniſh,,,,v.,41.0,70,diminish
3660,5,dĭmĭʹnūtion,,,,n.,42.0,70,diminution
3661,4,dĭmĭʹnūtive,,,,n.,43.0,70,diminutive
3662,4,dĭmĭʹſsŏry,L.,,,n.,44.0,70,dimissory
3663,3,dĭʹmĭtty,,,,n.,45.0,70,dimitty
3664,2,dĭʹmple,,,,n.,46.0,70,dimple
3665,1,dĭn,,,,n.,47.0,70,din
3666,3,dīʹnărc_h_y,G.,,,n.,48.0,70,dinarchy
3667,1,dīne,F.,,,v.,49.0,70,dine
3668,1,dĭng,,,,v.,50.0,70,ding
3669,2,dĭʹnner,,,,n.,51.0,70,dinner
3670,1,dĭnt,,,,n.,52.0,70,dint
3671,4,dīocēʹſan,F.,,,n.,53.0,70,diocesan
3672,3,dīʹŏcĕſe,G.,,,n.,54.0,70,diocese
3673,5,dīŏny̆ʹsĭā,,,,n.,55.0,70,dionyosia
3674,4,dīŏʹptrĭcal,G.,,,a.,56.0,70,dioptrical
3675,3,dīŏʹptrics,G.,,,n.,57.0,70,dioptrics
3676,1,dĭp,,,,v.,58.0,70,dip
3677,2,dĭʹphthong,G.,,,n.,59.0,70,diphthong
3678,3,dĭplōʹmā,G.,,,n.,60.0,70,diploma
3679,1,dīre,,,,a.,61.0,70,dire
3680,2,dīrĕʹct,L.,,,a.,62.0,70,direct
3681,4,dīrĕʹction,,,,n.,63.0,70,direction
3682,3,dīrĕʹctor,,,,n.,64.0,70,director
3683,2,dĭʹrgè,,,,n.,65.0,70,dirge
3684,1,dĭrt,,,,n.,66.0,70,dirt
3685,2,dĭʹrty,,,,a.,67.0,70,dirty
3686,3,dĭsāʹble,,,,v.,68.0,70,disable
3687,5,dĭsăbĭʹlĭty,,,,n.,69.0,70,disability
3688,3,dĭsăbūʹſe,F.,,,v.,70.0,70,disabuse
3689,4,dĭsădvăʹntage,,,,n.,71.0,70,disadvantage
3690,6,dĭsădvăntāʹgē_o_us,,,,a.,72.0,70,disadvantageous
3691,4,dĭsăffĕʹcted,,,,a.,73.0,70,disaffected
3692,3,dĭsăgreeʹ,F.,,,v.,74.0,70,disagree
3693,5,dĭsăgreeʹable,,,,a.,2.0,71,disagreeable
3694,4,dĭsăgreeʹment,,,,n.,3.0,71,disagreement
3695,3,dĭsăllȯʹẇ,,,,v.,4.0,71,disallow
3696,3,dĭsănnŭʹl,F.,,,v.,5.0,71,disannul
3697,3,dĭsăppeaʹr,L.,,,v.,6.0,71,disappear
3698,3,dĭsăppoiʹnt,,,,v.,7.0,71,disappoint
3699,3,dĭsăpproʹve,F.,,,v.,8.0,71,disapprove
3700,2,dĭsăʹrm,F.,,,v.,9.0,71,disarm
3701,3,dĭsăʹſt_e_r,F.,,,n.,10.0,71,disaster
3702,3,dĭsăʹſtr_o_us,,,,a.,11.0,71,disastrous
3703,3,dĭsăvȯʹẇ,F.,,,v.,12.0,71,disavow
3704,2,dĭſbăʹnd,F.,,,v.,13.0,71,disband
3705,3,dĭſbĕlieʹf,,,,n.,14.0,71,disbelief
3706,3,dĭſbĕlieʹve,,,,v.,15.0,71,disbelieve
3707,2,dĭſbŭʹrſe,F.,,,v.,16.0,71,disburse
3708,3,dĭſbŭʹrſ_e_ments,,,,n.,17.0,71,disbursements
3709,3,dĭſbŭʹrthĕn,,,,v.,18.0,71,disburthen
3710,2,dĭſcaʹrd,,,,v.,19.0,71,discard
3711,2,dĭſcĕʹrn,F.,,,v.,20.0,71,discern
3712,4,dĭſcĕʹrnĭble,,,,a.,21.0,71,discernible
3713,3,dĭſcĕʹrnment,,,,n.,22.0,71,discernment
3714,4,dĭſcĕʹrpĭble,,,,a.,23.0,71,discerpible
3715,2,dĭſchăʹrge,F.,,,n.,24.0,71,discharge
3716,3,dĭſcīʹple,L.,,,n.,25.0,71,disciple
3717,3,dĭʹſcĭplīne,L.,,,n.,26.0,71,discipline
3718,2,diſclaiʹm,,,,v.,27.0,71,disclaim
3719,2,dĭſclōʹſe,,,,v.,28.0,71,disclose
3720,3,dĭſcŏʹl_o_ŭr,L.,,,v.,29.0,71,discolour
3721,3,dĭſcŏʹmfit,F.,,,v.,30.0,71,discomfit
3722,3,dĭſcŏʹmfort,F.,,,v.,31.0,71,discomfort
3723,3,dĭſcŏmmĕʹnd,,,,v.,32.0,71,discommend
3724,3,dĭſcŏmmōʹde,,,,v.,33.0,71,discommode
3725,3,dĭſcŏmpōʹſe,,,,v.,34.0,71,discompose
3726,4,dĭſcŏmpōʹsūre,,,,n.,35.0,71,discomposure
