,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette,hwd,Sampa,ipa
2342,2,demăʹnd,F.,,,v.,15.0,67,demand,demand,d i m { n d,dimænd
2343,2,demeaʹn,,,,v.,17.0,67,demean,demean,d i m i: n,dimiːn
2344,3,demĕʹrit,,,,n.,19.0,67,demerit,demerit,d i m E r\ @ t,dimɛɹət
2345,2,dĕʹmi,F.,,,n.,20.0,67,demi,demi,d E m i:,dɛmiː
2346,2,demīʹſe,,,,n.,21.0,67,demise,demise,d i m aI z,dim?z
2347,4,demŏʹcrăcy,G.,,,n.,22.0,67,democracy,democracy,d i m A k r\ @ s i:,dimɑkɹəsiː
2348,3,demŏʹliſh,L.,,,v.,24.0,67,demolish,demolish,d i m A l i S,dimɑliʃ
2349,2,dēmon,,nbSyll>1 et pas d'accent tonic,,n.,25.0,67,demon,demon,d i: m @ n,diːmən
2350,4,demŏnʹſtrable,L.,,,a.,27.0,67,demonstrable,demonstrable,d E m @ n s t r\ @ b @ l,dɛmənstɹəbəl
2351,3,demŏʹnſtrāte,,,,v.,28.0,67,demonstrate,demonstrate,d E m @ n s t r\ eI t,dɛmənstɹ?t
2352,5,demŏnſtrāʹtion,,,,n.,29.0,67,demonstration,demonstration,d E m @ n s t r\ eI S @ n,dɛmənstɹ?ʃən
2353,2,demuʹr,F.,,,v.,30.0,67,demur,demur,d i m 3:r,dimɜ:r
2354,2,demūʹre,,,,a.,31.0,67,demure,demure,d i m j U r\,dimjʊɹ
2355,1,den,,,,n.,33.0,67,den,den,d E n,dɛn
2356,3,denīʹal,F.,,,n.,34.0,67,denial,denial,d i n aI @ l,din?əl
2357,3,dĕʹnĭſon,,,,n.,36.0,67,denison,denison,d E n i s @ n,dɛnisən
2358,4,denŏʹmĭnāte,L.,,,v.,37.0,67,denominate,denominate,d i n A m @ n eI t,dinɑmən?t
2359,6,denŏmĭnāʹtion,,,,n.,38.0,67,denomination,denomination,d i n O: m @ n eI S @ n,dinOːmən?ʃən
2360,2,denōʹte,L.,,,v.,39.0,67,denote,denote,d i n @U t,dinoʊt
2361,1,denſe,L.,,,a.,41.0,67,dense,dense,d E n s,dɛns
2362,3,dĕnʹſĭty,L.,,,n.,42.0,67,density,density,d E n s @ 4 i:,dɛnsəɾiː
2363,1,dent,F.,,,n.,43.0,67,dent,dent,d E n t,dɛnt
2364,1,dĕʹnted,,,,n.,44.0,67,dented,dented,d E n t i d,dɛntid
2365,2,denyʹ,F.,,,v.,49.0,67,deny,deny,d i n aI,din?
2366,2,depăʹrt,F.,,,v.,52.0,67,depart,depart,d i p A r\ t,dipɑɹt
2367,3,depaʹrture,,,,n.,53.0,67,departure,departure,d i p A r\ tS 3:r,dipɑɹ?ɜ:r
2368,2,depĕʹnd,L.,,,v.,56.0,67,depend,depend,d i p E n d,dipɛnd
2369,3,depĭʹcted,L.,,,v.,59.0,67,depicted,depicted,d i p I k t @ d,dipɪktəd
2370,4,deplōʹrable,,,,a.,60.0,67,deplorable,deplorable,d i p l O: r\ @ b @ l,diplOːɹəbəl
2371,2,deplōʹre,,,,v.,61.0,67,deplore,deplore,d i p l O: r\,diplOːɹ
2372,4,depŏʹpūlāte,L.,,,v.,63.0,67,depopulate,depopulate,d i p A p j @ l eI t,dipɑpjəl?t
2373,3,depŏʹrtment,F.,,,n.,64.0,67,deportment,deportment,d @ p O: r\ t m @ n t,dəpOːɹtmənt
2374,5,depŏʹsĭtory,F.,,,n.,66.0,67,depository,depository,d i p A z @ t O: r\ i:,dipɑzətOːɹiː
2375,5,dĕpŏsĭʹtion,L.,,,n.,68.0,67,deposition,deposition,d E p @ z I S @ n,dɛpəzɪʃən
2376,5,dĕprăvāʹtion,L.,,,n.,70.0,67,depravation,depravation,d E p r\ @ v eI S @ n,dɛpɹəv?ʃən
2377,2,deprāʹve,L.,,,v.,71.0,67,deprave,deprave,d i p r\ eI v,dipɹ?v
2378,4,deprāʹvĭty,L.,,,n.,72.0,67,depravity,depravity,d i p r\ { v @ 4 i:,dipɹævəɾiː
2379,3,dĕʹprĕcāte,L.,,,v.,2.0,68,deprecate,deprecate,d E p r\ @ k eI t,dɛpɹək?t
2380,4,depreʹcĭāte,,,,v.,3.0,68,depreciate,depreciate,d i p r\ i: S i: eI t,dipɹiːʃiː?t
2381,5,dĕprĕdāʹtion,F.,,,n.,4.0,68,depredation,depredation,d E p r\ @ d eI S @ n,dɛpɹəd?ʃən
2382,2,deprĕʹſs,L.,,,v.,5.0,68,depress,depress,d i p r\ E s,dipɹɛs
2383,5,dĕprĭvāʹtion,L.,,,n.,6.0,68,deprivation,deprivation,d E p r\ @ v eI S @ n,dɛpɹəv?ʃən
2384,2,deprīʹve,L.,,,v.,7.0,68,deprive,deprive,d i p r\ aI v,dipɹ?v
2385,1,dĕpth,,,,n.,8.0,68,depth,depth,d E p T,dɛpθ
2386,3,dĕʹpūty,,,,n.,11.0,68,deputy,deputy,d E p j @ 4 i:,dɛpjəɾiː
2387,5,dĕrĕlĭʹction,L.,,,n.,12.0,68,dereliction,dereliction,d E r\ @ l I k S @ n,dɛɹəlɪkʃən
2388,2,derīʹde,L.,,,v.,13.0,68,deride,deride,d i r\ aI d,diɹ?d
2389,4,derĭʹſion,,,,n.,14.0,68,derision,derision,d 3:r I Z @ n,dɜ:rɪʒən
2390,5,derĭvāʹtion,,,,n.,15.0,68,derivation,derivation,d E r\ @ v eI S @ n,dɛɹəv?ʃən
2391,4,deriʹvăʹtĭve,,,,a.,16.0,68,derivative,derivative,d 3:r I v @ 4 i v,dɜ:rɪvəɾiv
2392,2,derīʹve,,,,v.,17.0,68,derive,derive,d 3:r aI v,dɜ:r?v
2393,5,derŏʹgătory,F.,,,a.,19.0,68,derogatory,derogatory,d 3:r A g @ t O: r\ i:,dɜ:rɑgətOːɹiː
2394,2,deſcĕʹnd,L.,,,v.,23.0,68,descend,descend,d i s E n d,disɛnd
2395,3,deſcĕʹndănts,,,,n.,24.0,68,descendants,descendants,d i s E n d @ n t s,disɛndənts
2396,2,deſcĕʹnt,,,,n.,25.0,68,descent,descent,d i s E n t,disɛnt
2397,2,deſcrīʹbe,L.,,,v.,26.0,68,describe,describe,d i s k r\ aI b,diskɹ?b
2398,4,deſcrĭʹption,,,,n.,28.0,68,description,description,d i s k r\ I p S @ n,diskɹɪpʃən
2399,2,dĕſĕʹrt,L.,,,v.,30.0,68,desert,desert,d E z 3:r t,dɛzɜ:rt
2400,3,dĕſeʹrt_e_r,,,,n.,31.0,68,deserter,deserter,d E z 3:r 4 3:r,dɛzɜ:rɾɜ:r
2401,2,deſĕʹrve,L.,,,v.,32.0,68,deserve,deserve,d i z 3:r v,dizɜ:rv
2402,3,deſĕrʹving,,,,a.,33.0,68,deserving,deserving,d i z 3:r v i N,dizɜ:rviŋ
2403,2,desīʹgn,F.,,,n.,36.0,68,design,design,d i z aI n,diz?n
2404,3,desīʹ_g_ning,,,,a.,37.0,68,designing,designing,d i z aI n i N,diz?niŋ
2405,4,desīʹrable,F.,,,a.,38.0,68,desirable,desirable,d i z aI r\ @ b @ l,diz?ɹəbəl
2406,2,desīʹre,,,,n.,39.0,68,desire,desire,d i z aI 3:r,diz?ɜ:r
2407,2,desĭʹſt,L.,,,v.,40.0,68,desist,desist,d i s I s t,disɪst
2408,1,deſk,,,,n.,41.0,68,desk,desk,d E s k,dɛsk
2409,3,dĕʹſŏlāte,L.,,,a.,42.0,68,desolate,desolate,d E s @ l @ t,dɛsələt
2410,5,dĕſŏlāʹtion,,,,n.,43.0,68,desolation,desolation,d E s @ l eI S @ n,dɛsəl?ʃən
2411,2,dĕſpaiʹr,L.,,,n.,44.0,68,despair,despair,d i s p E r\,dispɛɹ
2412,4,dĕſpĕrāʹdo,,,,n.,45.0,68,desperado,desperado,d E s p 3:r A 4 @U,dɛspɜ:rɑɾoʊ
2413,3,dĕʹſpĕrāte,,,,a.,46.0,68,desperate,desperate,d E s p r\ i t,dɛspɹit
2414,5,dĕſpĕrāʹtion,,,,n.,47.0,68,desperation,desperation,d E s p 3:r eI S @ n,dɛspɜ:r?ʃən
2415,4,dĕʹſpĭcable,L.,,,a.,48.0,68,despicable,despicable,d i s p I k @ b @ l,dispɪkəbəl
2416,2,deſpīʹſe,,,,v.,49.0,68,despise,despise,d i s p aI z,disp?z
2417,2,deſpīʹte,F.,,,n.,50.0,68,despite,despite,d i s p aI t,disp?t
2418,3,dĕſpŏʹtic,,,,a.,55.0,68,despotic,despotic,d i s p A 4 i k,dispɑɾik
2419,2,dĕssĕʹrt,,,,n.,57.0,68,dessert,dessert,d i z 3:r t,dizɜ:rt
2420,3,deʹſtĭnies,,,,n.,59.0,68,destinies,destinies,d E s t @ n i: z,dɛstəniːz
2421,3,deʹſtĭny,,,,n.,60.0,68,destiny,destiny,d E s t @ n i:,dɛstəniː
2422,3,dĕʹſtĭtūte,F.,,,a.,61.0,68,destitute,destitute,d E s t @ t u t,dɛstətut
2423,2,deſtroʹy,L.,,,v.,62.0,68,destroy,destroy,d i s t r\ OI,distɹ?
2424,4,deſtrŭʹctĭon,,,,n.,63.0,68,destruction,destruction,d i s t r\ V k S @ n,distɹʌkʃən
2425,3,deſtrŭʹctive,,,,a.,64.0,68,destructive,destructive,d i s t r\ V k t i v,distɹʌktiv
2426,4,desŭʹltŏry,L.,,,a.,65.0,68,desultory,desultory,d E s @ l t O: r\ i:,dɛsəltOːɹiː
2427,2,detăʹch,F.,,,v.,66.0,68,detach,detach,d i t { tS,ditæ?
2428,3,detăʹched,,,,a.,67.0,68,detached,detached,d i t { tS t,ditæ?t
2429,3,detaʹchment,F.,,,n.,68.0,68,detachment,detachment,d i t { tS m @ n t,ditæ?mənt
2430,2,detaiʹl,F.,,,n.,69.0,68,detail,detail,d i t eI l,dit?l
2431,2,detaiʹn,L.,,,v.,70.0,68,detain,detain,d i t eI n,dit?n
2432,2,detĕʹct,L.,,,v.,71.0,68,detect,detect,d i t E k t,ditɛkt
2433,4,detĕʹction,L.,,,n.,2.0,69,detection,detection,d i t E k S @ n,ditɛkʃən
2434,4,detĕʹntion,L.,,,n.,3.0,69,detention,detention,d i t E n S @ n,ditɛnʃən
2435,2,detĕʹr,L.,,,v.,4.0,69,deter,deter,d i t 3:r,ditɜ:r
2436,3,detĕʹrgent,L.,,,a.,5.0,69,detergent,detergent,d i t 3:r dZ @ n t,ditɜ:r?ənt
2437,5,detĕʹrmĭnable,,,,a.,6.0,69,determinable,determinable,d i t 3:r m @ n @ b @ l,ditɜ:rmənəbəl
2438,4,detĕʹrmĭnate,,,,a.,7.0,69,determinate,determinate,d i t 3:r m @ n eI t,ditɜ:rmən?t
2439,6,detĕrmĭnāʹtion,,,,n.,8.0,69,determination,determination,d i t 3:r m @ n eI S @ n,ditɜ:rmən?ʃən
2440,3,detĕʹrmĭne,L.,,,v.,9.0,69,determine,determine,d @ t 3:r m @ n,dətɜ:rmən
2441,2,detĕʹſt,L.,,,v.,11.0,69,detest,detest,d i t E s t,ditɛst
2442,3,dethrōʹne,F.,,,v.,14.0,69,dethrone,dethrone,d i T r\ @U n,diθɹoʊn
2443,2,detrăʹct,L.,,,v.,15.0,69,detract,detract,d i t r\ { k t,ditɹækt
2444,3,dĕʹtrĭment,F.,,,n.,17.0,69,detriment,detriment,d E t r\ @ m @ n t,dɛtɹəmənt
2445,4,dĕtrĭmĕʹntal,,,,a.,18.0,69,detrimental,detrimental,d E t r\ @ m E n t @ l,dɛtɹəmɛntəl
2446,5,devăſtāʹtion,,,,n.,20.0,69,devastation,devastation,d E v @ s t eI S @ n,dɛvəst?ʃən
2447,3,dĕʹvĭāte,L.,,,v.,22.0,69,deviate,deviate,d i: v i: eI t,diːviː?t
2448,5,dĕvĭāʹtion,,,,n.,23.0,69,deviation,deviation,d i: v i: eI S @ n,diːviː?ʃən
2449,2,devīʹce,F.,,,n.,24.0,69,device,device,d i v aI s,div?s
2450,2,dĕʹvil,F.,,,n.,25.0,69,devil,devil,d E v @ l,dɛvəl
2451,2,devīʹſe,F.,,,v.,26.0,69,devise,devise,d i v aI z,div?z
2452,2,devoiʹd,,,,a.,29.0,69,devoid,devoid,d i v OI d,div?d
2453,2,devŏʹlve,L.,,,v.,31.0,69,devolve,devolve,d i v A l v,divɑlv
2454,2,devōʹte,,,,v.,32.0,69,devote,devote,d i v @U t,divoʊt
2455,3,devōʹted,,,,a.,33.0,69,devoted,devoted,d i v @U 4 @ d,divoʊɾəd
2456,3,dĕvōʹteeʹ,F.,,,n.,34.0,69,devotee,devotee,d E v @ t i:,dɛvətiː
2457,4,devōʹtion,,,,n.,35.0,69,devotion,devotion,d i v @U S @ n,divoʊʃən
2458,1,dew,,,,n.,38.0,69,dew,dew,d u,du
2459,2,deʹwy,,,,a.,40.0,69,dewy,dewy,d u i:,duiː
2460,4,dĕxtĕʹrĭty,F.,,,n.,41.0,69,dexterity,dexterity,d E k s t E r\ @ 4 i:,dɛkstɛɹəɾiː
2461,3,dĕʹxtĕr_o_us,F.,,,a.,42.0,69,dexterous,dexterous,d E k s t r\ @ s,dɛkstɹəs
2462,1,dey,,,,n.,43.0,69,dey,dey,d eI,d?
2463,4,dīăbēʹtès,G.,,,n.,44.0,69,diabetes,diabetes,d aI @ b i: 4 i: z,d?əbiːɾiːz
2464,5,dīăbŏʹlĭcal,,,,a.,45.0,69,diabolical,diabolical,d aI @ b A l i k @ l,d?əbɑlikəl
2465,3,dīʹădem,G.,,,n.,47.0,69,diadem,diadem,d aI @ d E m,d?ədɛm
2466,4,dīăgnŏʹſtic,G.,,,n.,49.0,69,diagnostic,diagnostic,d aI @ g n A s t i k,d?əgnɑstik
2467,4,dīăʹgŏnal,G.,,,n.,50.0,69,diagonal,diagonal,d aI { g @ n @ l,d?ægənəl
2468,3,dīʹagram,G.,,,n.,51.0,69,diagram,diagram,d aI @ g r\ { m,d?əgɹæm
2469,2,dīʹal,L.,,,n.,53.0,69,dial,dial,d aI @ l,d?əl
2470,3,dīʹălĕct,G.,,,n.,54.0,69,dialect,dialect,d aI @ l E k t,d?əlɛkt
2471,3,dīʹălog_ue_,G.,,,n.,56.0,69,dialogue,dialogue,d aI @ l O: g,d?əlOːg
2472,4,dīăʹmĕt_e_r,,,,n.,57.0,69,diameter,diameter,d aI { m @ 4 3:r,d?æməɾɜ:r
2473,6,dīămĕʹtrĭcally,,,,n.,59.0,69,diametrically,diametrically,d aI @ m E t r\ i k @ l i:,d?əmɛtɹikəliː
2474,3,dīʹ_a_mond,F.,,,n.,60.0,69,diamond,diamond,d aI m @ n d,d?mənd
2475,3,dīăʹnā,,,,n.,61.0,69,diana,diana,d aI { n @,d?ænə
2476,3,dīʹ_a_p_e_r,,,,n.,63.0,69,diaper,diaper,d aI p 3:r,d?pɜ:r
2477,3,dīʹăphră_g_m,G.,,,n.,67.0,69,diaphragm,diaphragm,d aI @ f r\ { m,d?əfɹæm
2478,5,dīărr_ho_ēʹā,G.,,,n.,68.0,69,diarrhoea,diarrhoea,d aI 3:r i: @,d?ɜ:riːə
2479,3,dīʹăry,,,,n.,69.0,69,diary,diary,d aI 3:r i:,d?ɜ:riː
2480,4,dīăʹſtŏlè,G.,,,n.,70.0,69,diastole,diastole,d aI { s t @ l i:,d?æstəliː
2481,2,dĭʹck_e_r,,,,n.,72.0,69,dicker,dicker,d I k 3:r,dɪkɜ:r
2482,2,dĭʹctāte,L.,,,v.,73.0,69,dictate,dictate,d i k t eI t,dikt?t
2483,2,dĭʹctāt_e_s,,,,n.,2.0,70,dictates,dictates,d i k t eI t s,dikt?ts
2484,3,dĭctaʹtor,L.,,,n.,3.0,70,dictator,dictator,d i k t eI 4 3:r,dikt?ɾɜ:r
2485,5,dĭctătōʹrĭal,,,,a.,4.0,70,dictatorial,dictatorial,d I k t @ t O: r\ i: @ l,dɪktətOːɹiːəl
2486,4,dĭctaʹtorſhip,L.,,,n.,5.0,70,dictatorship,dictatorship,d i k t eI 4 3:r S I p,dikt?ɾɜ:rʃɪp
2487,5,dĭʹctionăry,,,,n.,6.0,70,dictionary,dictionary,d I k S @ n E r\ i:,dɪkʃənɛɹiː
2488,3,dĭdăʹctic,G.,,,a.,7.0,70,didactic,didactic,d aI d { k t i k,d?dæktik
2489,1,dīe,,,,n.,9.0,70,die,die,d aI,d?
2490,2,dīʹer,,,,n.,10.0,70,dier,dier,d i: 3:r,diːɜ:r
2491,2,dīʹet,F.,,,n.,11.0,70,diet,diet,d aI @ t,d?ət
2492,2,dīʹff_e_r,L.,,,v.,12.0,70,differ,differ,d I f 3:r,dɪfɜ:r
2493,3,dĭʹffĕrĕnce,L.,,,n.,13.0,70,difference,difference,d I f 3:r @ n s,dɪfɜ:rəns
2494,4,dĭʹffĭcŭlty,L.,,,a.,14.0,70,difficulty,difficulty,d I f @ k @ l t i:,dɪfəkəltiː
2495,2,dĭffūʹſe,L.,,,v.,17.0,70,diffuse,diffuse,d i f j u s,difjus
2496,4,dĭffūʹſion,,,,n.,18.0,70,diffusion,diffusion,d i f j u Z @ n,difjuʒən
2497,1,dĭg,,,,v.,20.0,70,dig,dig,d I g,dɪg
2498,2,dĭgĕʹſt,L.,,,v.,21.0,70,digest,digest,d aI dZ E s t,d??ɛst
2499,4,dĭgĕʹſtion,,,,n.,22.0,70,digestion,digestion,d aI dZ E s tS @ n,d??ɛs?ən
2500,2,dĭʹgĭt,,,,n.,23.0,70,digit,digit,d I dZ @ t,dɪ?ət
2501,4,dĭʹgnĭfy,,,,n.,24.0,70,dignify,dignify,d I g n @ f aI,dɪgnəf?
2502,4,dĭʹgnĭtăry,,,,n.,25.0,70,dignitary,dignitary,d I g n @ t E r\ i:,dɪgnətɛɹiː
2503,3,dĭʹgnĭty,L.,,,n.,26.0,70,dignity,dignity,d I g n @ 4 i:,dɪgnəɾiː
2504,2,dĭgrĕʹſs,L.,,,v.,27.0,70,digress,digress,d aI g r\ E s,d?gɹɛs
2505,4,dĭgrĕſſion,,nbSyll>1 et pas d'accent tonic,,n.,28.0,70,digression,digression,d aI g r\ E S @ n,d?gɹɛʃən
2506,1,dīke,,,,n.,29.0,70,dike,dike,d aI k,d?k
2507,2,dīlāʹte,F.,,,v.,31.0,70,dilate,dilate,d aI l eI t,d?l?t
2508,3,dĭʹlătŏry,L.,,,a.,32.0,70,dilatory,dilatory,d I l @ t O: r\ i:,dɪlətOːɹiː
2509,3,dīlĕʹmmā,G.,,,n.,33.0,70,dilemma,dilemma,d i l E m @,dilɛmə
2510,3,dĭʹlĭgĕnce,L.,,,n.,34.0,70,diligence,diligence,d I l @ dZ @ n s,dɪlə?əns
2511,2,dīlūʹte,L.,,,v.,37.0,70,dilute,dilute,d aI l u t,d?lut
2512,4,dīlūʹtion,,,,n.,38.0,70,dilution,dilution,d aI l u S @ n,d?luʃən
2513,1,dĭm,,,,a.,39.0,70,dim,dim,d I m,dɪm
2514,4,dĭmĕʹnſion,L.,,,n.,40.0,70,dimension,dimension,d i m E n S @ n,dimɛnʃən
2515,3,dĭmĭʹniſh,,,,v.,41.0,70,diminish,diminish,d i m I n i S,dimɪniʃ
2516,5,dĭmĭʹnūtion,,,,n.,42.0,70,diminution,diminution,d I m @ n u S @ n,dɪmənuʃən
2517,4,dĭmĭʹnūtive,,,,n.,43.0,70,diminutive,diminutive,d i m I n j @ 4 i v,dimɪnjəɾiv
2518,2,dĭʹmple,,,,n.,46.0,70,dimple,dimple,d I m p @ l,dɪmpəl
2519,1,dĭn,,,,n.,47.0,70,din,din,d I n,dɪn
2520,1,dīne,F.,,,v.,49.0,70,dine,dine,d aI n,d?n
2521,1,dĭng,,,,v.,50.0,70,ding,ding,d I N,dɪŋ
2522,2,dĭʹnner,,,,n.,51.0,70,dinner,dinner,d I n 3:r,dɪnɜ:r
2523,1,dĭnt,,,,n.,52.0,70,dint,dint,d I n t,dɪnt
2524,4,dīocēʹſan,F.,,,n.,53.0,70,diocesan,diocesan,d aI A s @ s @ n,d?ɑsəsən
2525,3,dīʹŏcĕſe,G.,,,n.,54.0,70,diocese,diocese,d aI @ s i: z,d?əsiːz
2526,1,dĭp,,,,v.,58.0,70,dip,dip,d I p,dɪp
2527,3,dĭplōʹmā,G.,,,n.,60.0,70,diploma,diploma,d i p l @U m @,diploʊmə
2528,1,dīre,,,,a.,61.0,70,dire,dire,d aI r\,d?ɹ
2529,2,dīrĕʹct,L.,,,a.,62.0,70,direct,direct,d 3:r E k t,dɜ:rɛkt
2530,4,dīrĕʹction,,,,n.,63.0,70,direction,direction,d 3:r E k S @ n,dɜ:rɛkʃən
2531,3,dīrĕʹctor,,,,n.,64.0,70,director,director,d 3:r E k t 3:r,dɜ:rɛktɜ:r
2532,2,dĭʹrgè,,,,n.,65.0,70,dirge,dirge,d 3:r dZ,dɜ:r?
2533,1,dĭrt,,,,n.,66.0,70,dirt,dirt,d 3:r t,dɜ:rt
2534,2,dĭʹrty,,,,a.,67.0,70,dirty,dirty,d 3:r 4 i:,dɜ:rɾiː
2535,3,dĭsāʹble,,,,v.,68.0,70,disable,disable,d i s eI b @ l,dis?bəl
2536,5,dĭsăbĭʹlĭty,,,,n.,69.0,70,disability,disability,d I s @ b I l i 4 i:,dɪsəbɪliɾiː
2537,3,dĭsăbūʹſe,F.,,,v.,70.0,70,disabuse,disabuse,d i s @ b j u s,disəbjus
2538,4,dĭsădvăʹntage,,,,n.,71.0,70,disadvantage,disadvantage,d I s @ d v { n t i dZ,dɪsədvænti?
2539,6,dĭsădvăntāʹgē_o_us,,,,a.,72.0,70,disadvantageous,disadvantageous,d I s { d v { n t eI dZ @ s,dɪsædvænt??əs
2540,4,dĭsăffĕʹcted,,,,a.,73.0,70,disaffected,disaffected,d I s @ f E k t i d,dɪsəfɛktid
2541,3,dĭsăgreeʹ,F.,,,v.,74.0,70,disagree,disagree,d i s @ g r\ i:,disəgɹiː
2542,5,dĭsăgreeʹable,,,,a.,2.0,71,disagreeable,disagreeable,d I s @ g r\ i: @ b @ l,dɪsəgɹiːəbəl
2543,4,dĭsăgreeʹment,,,,n.,3.0,71,disagreement,disagreement,d i s @ g r\ i: m @ n t,disəgɹiːmənt
2544,3,dĭsăllȯʹẇ,,,,v.,4.0,71,disallow,disallow,d I s @ l aU,dɪsəl?
2545,3,dĭsăppeaʹr,L.,,,v.,6.0,71,disappear,disappear,d I s @ p I r\,dɪsəpɪɹ
2546,3,dĭsăppoiʹnt,,,,v.,7.0,71,disappoint,disappoint,d I s @ p OI n t,dɪsəp?nt
2547,3,dĭsăpproʹve,F.,,,v.,8.0,71,disapprove,disapprove,d I s @ p r\ u v,dɪsəpɹuv
2548,2,dĭsăʹrm,F.,,,v.,9.0,71,disarm,disarm,d i s A r\ m,disɑɹm
2549,3,dĭsăʹſt_e_r,F.,,,n.,10.0,71,disaster,disaster,d i z { s t 3:r,dizæstɜ:r
2550,3,dĭsăʹſtr_o_us,,,,a.,11.0,71,disastrous,disastrous,d i z { s t r\ @ s,dizæstɹəs
2551,3,dĭsăvȯʹẇ,F.,,,v.,12.0,71,disavow,disavow,d I s @ v aU,dɪsəv?
2552,2,dĭſbăʹnd,F.,,,v.,13.0,71,disband,disband,d i s b { n d,disbænd
2553,3,dĭſbĕlieʹf,,,,n.,14.0,71,disbelief,disbelief,d I s b i l i: f,dɪsbiliːf
2554,3,dĭſbĕlieʹve,,,,v.,15.0,71,disbelieve,disbelieve,d i s b @ l i: v,disbəliːv
2555,2,dĭſbŭʹrſe,F.,,,v.,16.0,71,disburse,disburse,d i s b 3:r s,disbɜ:rs
2556,3,dĭſbŭʹrſ_e_ments,,,,n.,17.0,71,disbursements,disbursements,d i s b 3:r s m @ n t s,disbɜ:rsmənts
2557,2,dĭſcaʹrd,,,,v.,19.0,71,discard,discard,d i s k A r\ d,diskɑɹd
2558,2,dĭſcĕʹrn,F.,,,v.,20.0,71,discern,discern,d i s 3:r n,disɜ:rn
2559,4,dĭſcĕʹrnĭble,,,,a.,21.0,71,discernible,discernible,d i s 3:r n @ b @ l,disɜ:rnəbəl
2560,3,dĭſcĕʹrnment,,,,n.,22.0,71,discernment,discernment,d i s 3:r n m @ n t,disɜ:rnmənt
2561,2,dĭſchăʹrge,F.,,,n.,24.0,71,discharge,discharge,d i s tS A r\ dZ,dis?ɑɹ?
2562,3,dĭſcīʹple,L.,,,n.,25.0,71,disciple,disciple,d i s aI p @ l,dis?pəl
2563,3,dĭʹſcĭplīne,L.,,,n.,26.0,71,discipline,discipline,d I s @ p l @ n,dɪsəplən
2564,2,diſclaiʹm,,,,v.,27.0,71,disclaim,disclaim,d i s k l eI m,diskl?m
2565,2,dĭſclōʹſe,,,,v.,28.0,71,disclose,disclose,d i s k l @U z,diskloʊz
2566,3,dĭſcŏʹmfort,F.,,,v.,31.0,71,discomfort,discomfort,d i s k V m f 3:r t,diskʌmfɜ:rt
2567,3,dĭſcŏncĕʹrt,F.,,,v.,36.0,71,disconcert,disconcert,d I s k @ n s 3:r t,dɪskənsɜ:rt
2568,3,dĭſcŏntĕʹnt,,,,n.,38.0,71,discontent,discontent,d i s k @ n t E n t,diskəntɛnt
2569,5,dĭſcŏntĭʹnūănce,F.,,,n.,39.0,71,discontinuance,discontinuance,d I s k @ n t I n j u @ n s,dɪskəntɪnjuəns
2570,4,dĭſcŏntĭʹnūe,F.,,,v.,40.0,71,discontinue,discontinue,d i s k @ n t I n j u,diskəntɪnju
2571,2,dĭʹſcŏrd,L.,,,n.,41.0,71,discord,discord,d I s k O: r\ d,dɪskOːɹd
2572,3,dĭſcŏʹrdănt,F.,,,a.,42.0,71,discordant,discordant,d i s k O: r\ d @ n t,diskOːɹdənt
2573,3,dĭſcŏʹver,F.,,,v.,43.0,71,discover,discover,d i s k V v 3:r,diskʌvɜ:r
2574,3,dĭſc_o_ŭʹrage,F.,,,v.,46.0,71,discourage,discourage,d i s k 3:r i dZ,diskɜ:ri?
2575,4,dĭſc_o_ŭʹrag_e_ment,,,,n.,47.0,71,discouragement,discouragement,d i s k 3:r i dZ m @ n t,diskɜ:ri?mənt
2576,2,dĭſco_u_ʹrſe,F.,,,n.,48.0,71,discourse,discourse,d I s k O: r\ s,dɪskOːɹs
2577,3,dĭſcrĕʹdit,,,,v.,50.0,71,discredit,discredit,d i s k r\ E 4 @ t,diskɹɛɾət
2578,2,dĭſcreeʹt,F.,,,a.,51.0,71,discreet,discreet,d i s k r\ i: t,diskɹiːt
2579,4,dĭſcrĕʹtion,F.,,,n.,52.0,71,discretion,discretion,d i s k r\ E S @ n,diskɹɛʃən
2580,4,dĭſcrĭʹmĭnāte,L.,,,v.,53.0,71,discriminate,discriminate,d i s k r\ I m @ n eI t,diskɹɪmən?t
2581,2,dĭſcŭʹſs,L.,,,v.,54.0,71,discuss,discuss,d i s k V s,diskʌs
2582,4,dĭſcŭʹſſion,,,,n.,55.0,71,discussion,discussion,d i s k V S @ n,diskʌʃən
2583,2,dĭſdaiʹn,F.,,,n.,56.0,71,disdain,disdain,d i s d eI n,disd?n
2584,3,dĭſdaiʹnful,,,,a.,57.0,71,disdainful,disdainful,d i s d eI n f @ l,disd?nfəl
2585,2,dĭſeaʹſe,F.,,,n.,59.0,71,disease,disease,d i z i: z,diziːz
2586,3,dĭſeaʹſed,,,,a.,60.0,71,diseased,diseased,d i z i: z d,diziːzd
2587,3,dĭsĕmbăʹrk,F.,,,v.,61.0,71,disembark,disembark,d i s E m b A r\ k,disɛmbɑɹk
2588,3,dĭsĕngāʹge,F.,,,v.,64.0,71,disengage,disengage,d i s i n g eI dZ,dising??
2589,4,dĭsĕngāʹged,,,,a.,65.0,71,disengaged,disengaged,d i s i n g eI dZ d,dising??d
2590,4,dĭsĕnfrăʹnchīſe,,,,v.,66.0,71,disenfranchise,disenfranchise,d i s i n f r\ { n tS aI z,disinfɹæn??z
