hwd;pronSampa;ipa
scheduler;s k E dZ U l 3:r;skɛ?ʊlɜ:r
pilgrimage(2);p I l g r\ @ m i dZ;pɪlgɹəmi?
bache's(2);b eI tS i z;b??iz
hoeffner;h @U f n 3:r;hoʊfnɜ:r
darkest;d A r\ k @ s t;dɑɹkəst
stubbornness;s t V b 3:r n n @ s;stʌbɜ:rnnəs
nik;n I k;nɪk
heffron;h E f r\ @ n;hɛfɹən
daniels's(2);d { n j E l z i z;dænjɛlziz
limited;l I m @ 4 @ d;lɪməɾəd
restraint;r\ i s t r\ eI n t;ɹistɹ?nt
barbian;b A r\ b i: @ n;bɑɹbiːən
shriver;S r\ aI v 3:r;ʃɹ?vɜ:r
bayar;b eI 3:r;b?ɜ:r
landwehr;l { n d w i r\;lændwiɹ
chromalloy;k r\ @U m { l OI;kɹoʊmæl?
intellectualism;i n t E l @ k tS u @ l I z @ m;intɛlək?uəlɪzəm
swigart;s w I g A r\ t;swɪgɑɹt
scarp;s k A r\ p;skɑɹp
cope;k @U p;koʊp
coax;k @U k s;koʊks
dorr;d O: r\;dOːɹ
palace;p { l @ s;pæləs
gramm;g r\ { m;gɹæm
humphery(2);h V m f r\ i:;hʌmfɹiː
apso;{ p s @U;æpsoʊ
healthcare;h E l T k E r\;hɛlθkɛɹ
immunity;i m j u n @ 4 i:;imjunəɾiː
supersecret;s u p 3:r s i: k r\ i t;supɜ:rsiːkɹit
bee;b i:;biː
survivable;s 3:r v aI v @ b @ l;sɜ:rv?vəbəl
tianjin;t i: { n dZ i n;tiːæn?in
bennardo;b @ n A r\ 4 @U;bənɑɹɾoʊ
tele(2);t E l @;tɛlə
elbe;E l b;ɛlb
second;s E k @ n d;sɛkənd
mcconnon;m @ k A n @ n;məkɑnən
sphinx;s f I N k s;sfɪŋks
brockman;b r\ A k m @ n;bɹɑkmən
menotomy;m i n A 4 i m i:;minɑɾimiː
smarmy;s m A r\ m i:;smɑɹmiː
reposa;r\ E p @U s @;ɹɛpoʊsə
criner;k r\ aI n 3:r;kɹ?nɜ:r
effingham(2);E f i N h @ m;ɛfiŋhəm
allshouse(2);O: l t s h aU s;Oːltsh?s
beuys;b j u i: z;bjuiːz
precedes;p r\ i s i: d z;pɹisiːdz
ornament;O: r\ n @ m @ n t;Oːɹnəmənt
drasner;d r\ { s n 3:r;dɹæsnɜ:r
yarns;j A r\ n z;jɑɹnz
petros;p E t r\ @U z;pɛtɹoʊz
hollowell;h A l @ w E l;hɑləwɛl
overplayed;@U v 3:r p l eI d;oʊvɜ:rpl?d
westdeutsche;w E s t d OI tS;wɛstd??
disillusioned;d I s i l u Z @ n d;dɪsiluʒənd
enslow;i n s l @U;insloʊ
thumma;T V m @;θʌmə
krasner;k r\ { s n 3:r;kɹæsnɜ:r
revaluation;r\ i: v { l j u eI S @ n;ɹiːvælju?ʃən
botts;b A t s;bɑts
rumford's;r\ V m f 3:r d z;ɹʌmfɜ:rdz
blueprints;b l u p r\ I n t s;blupɹɪnts
frerika;f r\ E r\ i k @;fɹɛɹikə
grownup;g r\ @U n V p;gɹoʊnʌp
whittle's(2);h w I 4 @ l z;hwɪɾəlz
boxcars;b A k s k A r\ z;bɑkskɑɹz
mosie;m A s i:;mɑsiː
sharf;S A r\ f;ʃɑɹf
goodine;g U d aI n;gʊd?n
sophronia;s @U f r\ @U n i: @;soʊfɹoʊniːə
giese;dZ i: s;?iːs
petit;p E 4 i:;pɛɾiː
nondeductible;n A n d i d V k t i b @ l;nɑndidʌktibəl
falkowski;f @ l k O: f s k i:;fəlkOːfskiː
bonnie's;b A n i: z;bɑniːz
johnsen;dZ A n s @ n;?ɑnsən
spinks;s p I N k s;spɪŋks
vitek;v I 4 E k;vɪɾɛk
refusal;r\ @ f j u z @ l;ɹəfjuzəl
crossville;k r\ A s v i l;kɹɑsvil
chit;tS I t;?ɪt
ribicoff;r\ I b i k O: f;ɹɪbikOːf
equality;i k w A l @ 4 i:;ikwɑləɾiː
jersians;dZ 3:r z i: @ n z;?ɜ:rziːənz
walks;w O: k s;wOːks
native;n eI 4 i v;n?ɾiv
fehnel;f E n @ l;fɛnəl
realization;r\ i: l @ z eI S @ n;ɹiːləz?ʃən
concentrated;k A n s @ n t r\ eI 4 @ d;kɑnsəntɹ?ɾəd
weathering;w E D 3:r i N;wɛðɜ:riŋ
southmark's;s aU T m A r\ k s;s?θmɑɹks
duplicating;d u p l i k eI 4 i N;duplik?ɾiŋ
fsi;f s i:;fsiː
vortex;v O: r\ 4 E k s;vOːɹɾɛks
reykjavik(2);r\ eI k @ v i k;ɹ?kəvik
buchan;b V k @ n;bʌkən
salvato;s A l v A 4 @U;sɑlvɑɾoʊ
garmany;g 3:r m O: n i:;gɜ:rmOːniː
haute(2);h V t;hʌt
welt;w E l t;wɛlt
erected;i r\ E k t @ d;iɹɛktəd
elie;E l i:;ɛliː
joslin;dZ A s l i n;?ɑslin
blay;b l eI;bl?
optometrist;A p t A m @ t r\ i s t;ɑptɑmətɹist
bonior;b @U n i: 3:r;boʊniːɜ:r
bunche;b V n tS;bʌn?
glutted;g l V 4 i d;glʌɾid
sorvino;s O: r\ v i: n @U;sOːɹviːnoʊ
isadore;i s A d O: r\ eI;isɑdOːɹ?
puopolo;p w @U p @U l @U;pwoʊpoʊloʊ
waver;w eI v 3:r;w?vɜ:r
thielsch;T i: l S;θiːlʃ
beucler;b OI k @ l 3:r;b?kəlɜ:r
mccutchan;m @ k V tS @ n;məkʌ?ən
croons;k r\ u n z;kɹunz
troester;t r\ @U s t 3:r;tɹoʊstɜ:r
invoicing;I n v OI s i N;ɪnv?siŋ
wrubel;r\ u b @ l;ɹubəl
saif(2);s aI f;s?f
mccurry;m @ k 3:r i:;məkɜ:riː
wideman;w aI d m @ n;w?dmən
okpo;A k p @U;ɑkpoʊ
kerchiefs;k 3:r tS @ f s;kɜ:r?əfs
antitheft(2);{ n t i: T E f t;æntiːθɛft
fontanella;f A n t @ n E l @;fɑntənɛlə
mullican;m V l i k @ n;mʌlikən
mcguiness;m @ g I n @ s;məgɪnəs
luebke;l u b k;lubk
seow(2);s i: aU;siː?
andres(2);{ n d r\ eI z;ændɹ?z
cull;k V l;kʌl
kewley;k j u l i:;kjuliː
conger;k O: N 3:r;kOːŋɜ:r
feller;f E l 3:r;fɛlɜ:r
peasley;p i: z l i:;piːzliː
beyersdorf;b aI r\ s d O: r\ f;b?ɹsdOːɹf
comeau;k @ m @U;kəmoʊ
gist;dZ I s t;?ɪst
simek;s I m i k;sɪmik
ate;eI t;?t
kennedys;k E n @ 4 i: z;kɛnəɾiːz
sandall;s { n d A l;sændɑl
wayman;w eI m @ n;w?mən
flooring;f l O: r\ i N;flOːɹiŋ
fraph;f r\ { f;fɹæf
transcanada;t r\ { n z k { n @ 4 @;tɹænzkænəɾə
altogether;O: l t @ g E D 3:r;Oːltəgɛðɜ:r
willinger;w I l i N 3:r;wɪliŋɜ:r
lyle;l aI l;l?l
saxer;s { k s 3:r;sæksɜ:r
motorists(2);m @U 4 3:r i s t s;moʊɾɜ:rists
bivins;b I v i n z;bɪvinz
kremlin;k r\ E m l @ n;kɹɛmlən
una;u n @;unə
annunciata;A n u n tS A 4 @;ɑnun?ɑɾə
yacoub;j { k aU b;jæk?b
scanlon's;s k { n l @ n z;skænlənz
sinise;s i n i: z;siniːz
wigley;w I g l i:;wɪgliː
besiege;b i s i: dZ;bisiː?
corpulent;k O: r\ p j @ l @ n t;kOːɹpjələnt
byard(2);b aI 3:r d;b?ɜ:rd
marijuana;m E r\ @ w A n @;mɛɹəwɑnə
republicbank;r\ i: p V b l i k b { N k;ɹiːpʌblikbæŋk
who're;h u 3:r;huɜ:r
impressionists;i m p r\ E S @ n i s t s;impɹɛʃənists
spevak;s p E v @ k;spɛvək
whittled;w I 4 @ l d;wɪɾəld
wotan;w @U t @ n;woʊtən
presentation;p r\ E z @ n t eI S @ n;pɹɛzənt?ʃən
burman;b 3:r m @ n;bɜ:rmən
mille;m I l;mɪl
humana's;h j u m { n @ z;hjumænəz
stablest;s t eI b @ l @ s t;st?bələst
overhauls;@U v 3:r h O: l z;oʊvɜ:rhOːlz
dorff;d O: r\ f;dOːɹf
aviv's;A v i: v z;ɑviːvz
timer;t aI m 3:r;t?mɜ:r
nordic;n O: r\ 4 i k;nOːɹɾik
anthropomorphic;{ n T r\ @ p @ m O: r\ f i k;ænθɹəpəmOːɹfik
berendt;b E r\ i n t;bɛɹint
kedzierski;k i dZ I r\ s k i:;ki?ɪɹskiː
reactivating;r\ i: { k t i v eI 4 i N;ɹiːæktiv?ɾiŋ
rusted(2);r\ V s t i d;ɹʌstid
shrimpers;S r\ I m p 3:r z;ʃɹɪmpɜ:rz
menzel;m E n z @ l;mɛnzəl
reichstuhl;r\ aI k s t u l;ɹ?kstul
larizza;l 3:r I z @;lɜ:rɪzə
groans;g r\ @U n z;gɹoʊnz
epidemic;E p @ d E m i k;ɛpədɛmik
staffa;s t A f @;stɑfə
raglin;r\ { g l i n;ɹæglin
gahli;g A l i:;gɑliː
anesthesiologists(3);{ n @ s T i: z i: A l @ dZ @ s;ænəsθiːziːɑlə?əs
titsworth;t I t s w 3:r T;tɪtswɜ:rθ
smisek;s m I s E k;smɪsɛk
musgrave;m V s g r\ @ v;mʌsgɹəv
sirois;s aI r\ w A;s?ɹwɑ
bardin;b A r\ d i n;bɑɹdin
acidify;@ s I 4 @ f aI;əsɪɾəf?
whooping(2);h w u p i N;hwupiŋ
ferdig;f 3:r 4 i g;fɜ:rɾig
eckrote;E k r\ @ t;ɛkɹət
doerflinger;d O: r\ f @ l i N 3:r;dOːɹfəliŋɜ:r
burckhardt;b 3:r k h A r\ t;bɜ:rkhɑɹt
treasures;t r\ E Z 3:r z;tɹɛʒɜ:rz
mineralogist(2);m I n 3:r A l @ dZ i s t;mɪnɜ:rɑlə?ist
miracid;m I r\ { s @ d;mɪɹæsəd
chas(2);tS A z;?ɑz
hurdling(2);h 3:r d l i N;hɜ:rdliŋ
reconcile;r\ E k @ n s aI l;ɹɛkəns?l
matis;m A 4 i s;mɑɾis
formylin;f O: r\ m i l i n;fOːɹmilin
dumpy;d V m p i:;dʌmpiː
sultanas;s V l t @ n @ z;sʌltənəz
reassign;r\ i: @ s aI n;ɹiːəs?n
veterinary;v E t r\ @ n E r\ i:;vɛtɹənɛɹiː
exabyte;E k s @ b aI t;ɛksəb?t
albumin;{ l b j u m @ n;ælbjumən
journeyman;dZ 3:r n i: m { n;?ɜ:rniːmæn
malle;m { l;mæl
euan;j u @ n;juən
riadys;r\ i: A 4 i: z;ɹiːɑɾiːz
cornell;k O: r\ n E l;kOːɹnɛl
monotheism;m A n @ T i: i z @ m;mɑnəθiːizəm
sinatra;s @ n A t r\ @;sənɑtɹə
eye's;aI z;?z
scientists;s aI @ n t i s t s;s?əntists
respeak;r\ i: s p i: k;ɹiːspiːk
gudger;g V dZ 3:r;gʌ?ɜ:r
anniston(2);{ n i s i n;ænisin
keef;k i: f;kiːf
wok;w A k;wɑk
muncee;m V n s i:;mʌnsiː
nuggets;n V g @ t s;nʌgəts
rannow;r\ { n @U;ɹænoʊ
waxing;w { k s i N;wæksiŋ
coed(2);k @U d;koʊd
clap;k l { p;klæp
andreoni;A n d r\ eI @U n i:;ɑndɹ?oʊniː
deceit(2);d i s i: t;disiːt
heightened;h aI t @ n d;h?tənd
measel;m i: z @ l;miːzəl
hashish;h { S i S;hæʃiʃ
stands;s t { n d z;stændz
demerger;d i m 3:r dZ 3:r;dimɜ:r?ɜ:r
metze;m E t z;mɛtz
radiator;r\ eI 4 i: eI 4 3:r;ɹ?ɾiː?ɾɜ:r
nouveaux;n u v @U;nuvoʊ
mollusks;m A l @ s k s;mɑləsks
betty;b E 4 i:;bɛɾiː
norlander;n O: r\ l @ n d 3:r;nOːɹləndɜ:r
brunetta;b r\ u n E 4 @;bɹunɛɾə
regained;r\ i: g eI n d;ɹiːg?nd
newbauer;n u b aU 3:r;nub?ɜ:r
netherland;n E D 3:r l @ n d;nɛðɜ:rlənd
colombo;k @ l V m b @U;kəlʌmboʊ
aqueduct;{ k w @ d V k t;ækwədʌkt
murrah;m 3:r r\ A;mɜ:rɹɑ
rizzo;r\ I z @U;ɹɪzoʊ
michelini;m i k @ l i: n i:;mikəliːniː
cauley;k O: l i:;kOːliː
wray;r\ eI;ɹ?
battin;b { t i n;bætin
hunters;h V n t 3:r z;hʌntɜ:rz
funnell;f V n @ l;fʌnəl
pedestrian;p @ d E s t r\ i: @ n;pədɛstɹiːən
prolog;p r\ @U l A g;pɹoʊlɑg
castrated;k { s t r\ eI 4 i d;kæstɹ?ɾid
utamaro;j u 4 @ m A r\ @U;juɾəmɑɹoʊ
sale;s eI l;s?l
portee;p O: r\ t i:;pOːɹtiː
considering;k @ n s I 4 3:r i N;kənsɪɾɜ:riŋ
manifests(3);m { n @ f E s;mænəfɛs
cerankosky;s E r\ @ N k O: s k i:;sɛɹəŋkOːskiː
falbo;f { l b @U;fælboʊ
deighan;d eI g h @ n;d?ghən
fariss;f 3:r I s;fɜ:rɪs
halliciforn;h @ l I s i f O: r\ n;həlɪsifOːɹn
motorist;m @U 4 3:r i s t;moʊɾɜ:rist
karow;k A r\ @U;kɑɹoʊ
sauce;s O: s;sOːs
online's;O: n l aI n z;Oːnl?nz
barthelme;b A r\ T @ l m;bɑɹθəlm
prettyman;p r\ E 4 i: m @ n;pɹɛɾiːmən
crossed;k r\ O: s t;kɹOːst
koehler;k @U l 3:r;koʊlɜ:r
clashes;k l { S i z;klæʃiz
thorniest;T O: r\ n i: @ s t;θOːɹniːəst
loot;l u t;lut
pflieger;f l i: g 3:r;fliːgɜ:r
ifor;aI f O: r\;?fOːɹ
reforms;r\ @ f O: r\ m z;ɹəfOːɹmz
skepticism;s k E p t i s I z @ m;skɛptisɪzəm
amalgam;@ m { l g @ m;əmælgəm
boondocks;b u n d A k s;bundɑks
hoisted(2);h OI s t i d;h?stid
reauthorization;r\ i: O: T 3:r i z eI S @ n;ɹiːOːθɜ:riz?ʃən
yablon;j { b l @ n;jæblən
gerloff;g 3:r l O: f;gɜ:rlOːf
osterhaus;A s t 3:r h aU s;ɑstɜ:rh?s
dacy;d eI s i:;d?siː
luken;l u k @ n;lukən
basing;b eI s i N;b?siŋ
alroy;@ l r\ OI;əlɹ?
tamps;t { m p s;tæmps
orenstein(2);O: r\ @ n s t i: n;Oːɹənstiːn
mussolini;m u s @U l i: n i:;musoʊliːniː
millburn;m I l b 3:r n;mɪlbɜ:rn
brost;b r\ A s t;bɹɑst
weil(2);w i: l;wiːl
colossal;k @ l A s @ l;kəlɑsəl
macnaughton;m @ k n O: t @ n;məknOːtən
illicitly;I l i s i t l i:;ɪlisitliː
coile;k OI l;k?l
underrepresent;@ n d 3:r r\ E p r\ i z E n t;əndɜ:rɹɛpɹizɛnt
plurality;p l 3:r { l i 4 i:;plɜ:ræliɾiː
zhivago;Z i v A g @U;ʒivɑgoʊ
bunell;b u n E l;bunɛl
eves;i: v z;iːvz
neurosis;n U r\ @U s @ s;nʊɹoʊsəs
maye;m eI;m?
sideways;s aI d w eI z;s?dw?z
clarifications;k l E r\ i f i k eI S @ n z;klɛɹifik?ʃənz
hinkle;h I N k @ l;hɪŋkəl
righetti;r\ i: g E 4 i:;ɹiːgɛɾiː
attested;@ t E s t i d;ətɛstid
glottis;g l A 4 @ s;glɑɾəs
saba;s A b @;sɑbə
accustom;@ k V s t @ m;əkʌstəm
branham;b r\ { n h @ m;bɹænhəm
lavey;l eI v i:;l?viː
mackley;m { k l i:;mækliː
artichokes;A r\ 4 i tS @U k s;ɑɹɾi?oʊks
exceptional;i k s E p S @ n @ l;iksɛpʃənəl
nordstrom;n O: r\ d s t r\ @ m;nOːɹdstɹəm
slackens;s l { k @ n z;slækənz
pannu;p A n u;pɑnu
kersting;k 3:r s t i N;kɜ:rstiŋ
gripp;g r\ I p;gɹɪp
moskowitz;m O: s k @ w i t s;mOːskəwits
ortolano;O: r\ 4 @U l A n @U;Oːɹɾoʊlɑnoʊ
mehnert;m E n 3:r t;mɛnɜ:rt
resurrecting;r\ E z 3:r E k t i N;ɹɛzɜ:rɛktiŋ
schwartzman;S w O: r\ t s m @ n;ʃwOːɹtsmən
parishes(2);p E r\ i S i z;pɛɹiʃiz
conquest's;k A N k w E s t s;kɑŋkwɛsts
mcaninch;m @ k { n i n tS;məkænin?
am's(2);eI E m z;?ɛmz
higbie;h I g b i:;hɪgbiː
monge;m A n dZ;mɑn?
benesh;b E n @ S;bɛnəʃ
gourley;g O: r\ l i:;gOːɹliː
artcarve;A r\ t k A r\ v;ɑɹtkɑɹv
bureaucracy;b j U r\ A k r\ @ s i:;bjʊɹɑkɹəsiː
wernet;w 3:r n i t;wɜ:rnit
poh;p @U;poʊ
erxleben;3:r k s l E b @ n;ɜ:rkslɛbən
camilleri;k A m i: l E r\ i:;kɑmiːlɛɹiː
holsopple;h @U l s @ p @ l;hoʊlsəpəl
morrell;m O: r\ E l;mOːɹɛl
wisinski;v i s I n s k i:;visɪnskiː
hudy;h j u 4 i:;hjuɾiː
mascari;m A s k A r\ i:;mɑskɑɹiː
amberger;{ m b 3:r g 3:r;æmbɜ:rgɜ:r
squabbling(2);s k w A b l i N;skwɑbliŋ
kocis;k @U s i s;koʊsis
pianist(2);p i: A n @ s t;piːɑnəst
suffuse;s @ f j u z;səfjuz
reinders;r\ aI n d 3:r z;ɹ?ndɜ:rz
lepore;l E p O: r\ i:;lɛpOːɹiː
grassgreen;g r\ { s g r\ i: n;gɹæsgɹiːn
restricted(2);r\ i: s t r\ I k t i d;ɹiːstɹɪktid
devin;d E v i n;dɛvin
ascertainment;{ s 3:r t eI n m @ n t;æsɜ:rt?nmənt
sentra;s E n t r\ @;sɛntɹə
soiled;s OI l d;s?ld
rayborn;r\ eI b 3:r n;ɹ?bɜ:rn
clams;k l { m z;klæmz
penja;p E n dZ @;pɛn?ə
cloves;k l @U v z;kloʊvz
exclaimed;i k s k l eI m d;ikskl?md
unabombers;j u n @ b O: m 3:r z;junəbOːmɜ:rz
menu;m E n j u;mɛnju
norske;n O: r\ s k i:;nOːɹskiː
suther;s V D 3:r;sʌðɜ:r
refrigerated;r\ i f r\ I dZ 3:r eI 4 i d;ɹifɹɪ?ɜ:r?ɾid
udell;V 4 @ l;ʌɾəl
nekton;n E k t @ n;nɛktən
erections;i r\ E k S @ n z;iɹɛkʃənz
gypsies;dZ I p s i: z;?ɪpsiːz
bala;b A l @;bɑlə
moore's;m U r\ z;mʊɹz
bady;b eI 4 i:;b?ɾiː
feedstock;f i: d s t A k;fiːdstɑk
strategize;s t r\ { 4 @ dZ aI z;stɹæɾə??z
instigated;I n s t @ g eI 4 i d;ɪnstəg?ɾid
bartered;b A r\ 4 3:r d;bɑɹɾɜ:rd
kirkhart;k 3:r k h A r\ t;kɜ:rkhɑɹt
powerboat;p aU 3:r b @U t;p?ɜ:rboʊt
byun;b j V n;bjʌn
immigrate;I m @ g r\ eI t;ɪməgɹ?t
admiring;{ d m aI r\ i N;ædm?ɹiŋ
corroborative(2);k 3:r A b r\ @ t I v;kɜ:rɑbɹətɪv
odysseus;@U d I s i: @ s;oʊdɪsiːəs
avocet;{ v @ s E t;ævəsɛt
dah;d V;dʌ
